# k pHI_mu=0.17 pHI_mu=0.50 pHI_mu=0.83
1.164688008160118304e+00 7.320083093707714283e+01 7.958038728800251249e+01 8.960378382893418348e+01
1.195337692585384470e+00 7.181986877791959500e+01 7.486686862244897611e+01 8.596305354267310861e+01
1.225987377010650636e+00 7.029590408236994392e+01 7.196509246254682068e+01 8.418169888502750098e+01
1.256637061435917024e+00 6.673220486111111427e+01 6.909875606796116188e+01 7.827695035460992301e+01
1.287286745861183412e+00 6.475446307127312195e+01 6.506504270718990313e+01 7.394277519803331700e+01
1.317936430286449578e+00 6.340995232513937907e+01 6.273774189330543294e+01 7.085946572835142376e+01
1.348586114711715744e+00 5.996001584462850786e+01 6.161308631971623839e+01 6.860662509496074790e+01
1.379235799136982132e+00 5.830758250584112545e+01 5.787730856502757604e+01 6.458321095369730358e+01
1.409885483562248520e+00 5.518858750561292936e+01 5.568254220971564195e+01 6.075234464082097929e+01
1.440535167987514686e+00 5.459773943544809782e+01 5.492144281914893611e+01 5.730470984598459694e+01
1.471184852412780852e+00 5.455499614197530889e+01 5.049024896265559903e+01 5.613811044714609721e+01
1.501834536838047018e+00 5.214534313725489767e+01 4.956281647140587410e+01 5.168468142071134253e+01
1.532484221263313406e+00 5.083641630186524907e+01 4.822508888473053901e+01 5.162659420633415408e+01
1.563133905688579794e+00 4.981026122865627315e+01 4.525076388888888346e+01 4.869468158609705455e+01
1.593783590113845960e+00 4.739898116736256384e+01 4.367920586917562531e+01 4.703973499223736354e+01
1.624433274539112126e+00 4.619875489111942812e+01 4.276119791666666714e+01 4.358294152846640657e+01
1.655082958964378514e+00 4.582624011206328163e+01 4.229874231557376874e+01 4.271729314762770713e+01
1.685732643389644902e+00 4.472767647748592879e+01 4.059252496301775182e+01 4.095383980506210264e+01
1.716382327814911068e+00 4.315721295292659931e+01 3.930768477774463321e+01 3.914258384734001339e+01
1.747032012240177234e+00 4.216341296189376209e+01 3.745963161829054400e+01 3.779430428272477371e+01
1.777681696665443623e+00 4.121144768597388008e+01 3.594541594703512288e+01 3.550508849950291079e+01
1.808331381090710011e+00 4.023865759966777489e+01 3.549082310574807053e+01 3.416421877155469389e+01
1.838981065515976177e+00 3.905409064058808610e+01 3.397827340070643487e+01 3.271983504084860073e+01
1.869630749941242343e+00 3.848128456147119891e+01 3.391062209602478106e+01 3.164681645386885478e+01
1.900280434366508731e+00 3.789609529092702189e+01 3.231864915615727085e+01 3.006849503219017095e+01
1.930930118791775119e+00 3.741597957174501232e+01 3.133739995723362526e+01 2.931531730769230748e+01
1.961579803217041285e+00 3.587483032000924510e+01 3.057399168537334688e+01 2.822207281679565583e+01
1.992229487642307451e+00 3.550697594646057098e+01 2.891957039760348636e+01 2.656948290813472013e+01
2.022879172067573617e+00 3.438606541593309629e+01 2.849457407714411872e+01 2.566768512360048859e+01
2.053528856492840227e+00 3.390803608951460291e+01 2.796718046472984653e+01 2.477225940524508374e+01
2.084178540918106393e+00 3.315194836728265670e+01 2.694293255432554091e+01 2.360364588838389110e+01
2.114828225343372559e+00 3.295947091584158528e+01 2.595609474561927499e+01 2.279206257989969586e+01
2.145477909768638725e+00 3.180781950399532221e+01 2.569845670598731147e+01 2.218229115868526335e+01
2.176127594193904891e+00 3.152076827920830127e+01 2.440707221219604861e+01 2.122781639530389342e+01
2.206777278619171501e+00 3.061553194647424192e+01 2.385959621620387239e+01 2.075805252301941906e+01
2.237426963044437667e+00 2.967888439782647581e+01 2.325885777433466828e+01 1.943425302826379664e+01
2.268076647469703833e+00 2.942958695652174228e+01 2.240347121766507854e+01 1.888297350607916059e+01
2.298726331894970443e+00 2.890567238074957146e+01 2.213550374014060296e+01 1.810865896072013115e+01
2.329376016320236609e+00 2.832427774130006171e+01 2.166534193082970816e+01 1.774033991048802505e+01
2.360025700745502775e+00 2.796079458070260770e+01 2.009749763928234145e+01 1.703395439966109848e+01
2.390675385170768941e+00 2.717197841159785554e+01 2.013502475739739239e+01 1.645089356592839636e+01
2.421325069596035107e+00 2.695359646449253077e+01 1.990857818821973169e+01 1.589770254673427807e+01
2.451974754021301717e+00 2.651002256079142327e+01 1.932082281222353259e+01 1.538193419259595629e+01
2.482624438446567883e+00 2.608278951543120527e+01 1.890023568688476985e+01 1.463745259364440265e+01
2.513274122871834049e+00 2.595205596726608732e+01 1.844919853364002194e+01 1.420977705322524010e+01
2.543923807297100215e+00 2.530963695240101075e+01 1.805875704058088971e+01 1.373702161897432283e+01
2.574573491722366825e+00 2.519438100554878801e+01 1.733021920488876688e+01 1.354444291171477133e+01
2.605223176147632991e+00 2.516496794244322643e+01 1.714627470584347080e+01 1.297849101488542090e+01
2.635872860572899157e+00 2.427329777410575318e+01 1.651460376469460556e+01 1.269546637875363260e+01
2.666522544998165323e+00 2.396442261904761750e+01 1.613000806349607785e+01 1.209465000478407859e+01
2.697172229423431489e+00 2.382246237714987558e+01 1.562267825978559088e+01 1.174380766106786034e+01
2.727821913848698099e+00 2.335172282411878086e+01 1.529602138433461000e+01 1.132460100362209410e+01
2.758471598273964265e+00 2.292322384196982199e+01 1.512494733554160753e+01 1.101876214020836997e+01
2.789121282699230431e+00 2.259331318744271400e+01 1.491895545620868901e+01 1.065517586502716618e+01
2.819770967124497041e+00 2.237963101125511400e+01 1.453895042120773873e+01 1.023937851622435602e+01
2.850420651549763207e+00 2.208558897416077826e+01 1.402378528113898781e+01 9.916840038578120797e+00
2.881070335975029373e+00 2.182031165549670249e+01 1.393544676935659687e+01 9.767359517574645267e+00
2.911720020400295539e+00 2.160630334711187572e+01 1.336813994221025936e+01 9.401255212536993255e+00
2.942369704825561705e+00 2.137289039798671553e+01 1.322726146200497688e+01 9.030152759145554597e+00
2.973019389250827871e+00 2.101430845341739229e+01 1.281171013327205976e+01 8.943212789582597466e+00
3.003669073676094481e+00 2.077458803444180546e+01 1.276679011520513285e+01 8.510109572143944590e+00
3.034318758101360647e+00 2.052885926444575659e+01 1.252770220588235262e+01 8.352729389444636610e+00
3.064968442526626813e+00 2.021274481430731385e+01 1.215189704068304977e+01 8.019546638426122698e+00
3.095618126951893423e+00 2.024845832151970626e+01 1.193083902844477251e+01 7.917084762889505356e+00
3.126267811377159589e+00 2.015990840418723451e+01 1.166834583143248061e+01 7.603470894198424368e+00
3.156917495802425755e+00 1.976939328398144724e+01 1.156371629175031934e+01 7.328410844323076212e+00
3.187567180227691921e+00 1.969413363889637836e+01 1.130650091748220731e+01 7.097718689495249755e+00
3.218216864652958087e+00 1.947552118933698040e+01 1.104142077682531564e+01 6.951439237816597227e+00
3.248866549078224697e+00 1.938601582412914226e+01 1.073106468712291139e+01 6.728068743896743698e+00
3.279516233503490863e+00 1.975096999957997568e+01 1.064491407667876466e+01 6.617298378606022879e+00
3.310165917928757029e+00 1.899503696043901968e+01 1.041739553276999253e+01 6.478906856436655204e+00
3.340815602354023639e+00 1.899499490462244822e+01 1.020440324943802146e+01 6.315390733744282947e+00
3.371465286779289805e+00 1.925331665077852250e+01 1.004765282024145456e+01 6.102519391349084721e+00
3.402114971204555971e+00 1.900599525650035204e+01 9.858675464560137769e+00 6.001876686085154233e+00
3.432764655629822137e+00 1.866359549977300247e+01 9.618921485152304385e+00 5.852515027115173574e+00
3.463414340055088303e+00 1.888850550202459289e+01 9.583080059303187070e+00 5.689329759718109614e+00
3.494064024480354469e+00 1.876179355602025112e+01 9.442048590935502972e+00 5.649808994019884345e+00
3.524713708905621079e+00 1.898134345203698459e+01 9.239868813756654475e+00 5.491558908045977461e+00
3.555363393330887245e+00 1.885961907128656634e+01 9.176707519190509643e+00 5.297676353347332778e+00
3.586013077756153411e+00 1.870140910981697502e+01 8.905626714171642533e+00 5.215941498214347938e+00
3.616662762181420021e+00 1.879284270725834105e+01 8.786545586340206881e+00 5.167333490485169989e+00
3.647312446606686187e+00 1.887863391884531694e+01 8.674390738468261475e+00 4.984366458539751576e+00
3.677962131031952353e+00 1.872801315702588454e+01 8.597489674380877744e+00 4.858147978394554478e+00
3.708611815457218519e+00 1.904928282009724683e+01 8.486218553844643964e+00 4.854990638301329042e+00
3.739261499882484685e+00 1.888300099460985848e+01 8.416306484085389172e+00 4.741097646096081419e+00
3.769911184307751295e+00 1.920410932963009643e+01 8.316288476094360504e+00 4.685023772571140555e+00
3.800560868733017461e+00 1.913290950148994440e+01 8.198247569357464570e+00 4.630400406124544510e+00
3.831210553158283627e+00 1.946874240167770864e+01 8.085415852081329291e+00 4.531609625648179041e+00
3.861860237583550237e+00 1.971436290810157388e+01 8.104254734848485242e+00 4.507185025184330840e+00
3.892509922008816403e+00 1.982679174567433122e+01 8.020336633441091934e+00 4.447920511590137238e+00
