# k pHI_mu=0.17 pHI_mu=0.50 pHI_mu=0.83
3.064968442526627354e-02 5.495682617187500000e+03 nan 1.080026406250000036e+04
6.129936885053254014e-02 4.681906250000000000e+03 6.870691406250000000e+03 8.071791666666666060e+03
9.194905327579880328e-02 2.770825976562500273e+03 1.931598388671875000e+03 3.676578125000000000e+03
1.225987377010650803e-01 2.303939257812500273e+03 2.174709798177083030e+03 3.802594893292683082e+03
1.532484221263313573e-01 1.914434843750000027e+03 2.272921006944444343e+03 2.146625884433962256e+03
1.838981065515976066e-01 1.677445312500000000e+03 1.534267700195312500e+03 1.790821180555555429e+03
2.145477909768638836e-01 1.221781828703703695e+03 1.288464564732142890e+03 1.342357941513761489e+03
2.451974754021301606e-01 7.806552083333333485e+02 1.016396918402777715e+03 1.235499198717948730e+03
2.758471598273964376e-01 6.876649025537634543e+02 7.553912500000000136e+02 1.025596790540540496e+03
3.064968442526627146e-01 5.583838061951754526e+02 7.016306857638888914e+02 9.210863335253455944e+02
3.371465286779289916e-01 5.176034482758620925e+02 5.864639892578125000e+02 6.978756483402489721e+02
3.677962131031952131e-01 4.320390355603448143e+02 4.864768518518518476e+02 6.316521970989761030e+02
3.984458975284614901e-01 3.681534539473684049e+02 4.298755240091463747e+02 5.943001558398949555e+02
4.290955819537277671e-01 3.338114062500000045e+02 4.073307173295454504e+02 4.797461033007334663e+02
4.597452663789940441e-01 3.000087400114155116e+02 3.514178964120370097e+02 4.410328089569160852e+02
4.903949508042603211e-01 2.880109430407801483e+02 3.182584339488636260e+02 4.110311958405545738e+02
5.210446352295265982e-01 2.487904922385621092e+02 2.841370322145061778e+02 3.625919561148086814e+02
5.516943196547927641e-01 2.213909722222222172e+02 2.523264307228915868e+02 3.313749554208274049e+02
5.823440040800591522e-01 2.161644604557640719e+02 2.567807532514450486e+02 3.002633054993252131e+02
6.129936885053253182e-01 1.956724968905472508e+02 2.271848382190265454e+02 2.773084633807168871e+02
6.436433729305917062e-01 1.815894257973251058e+02 1.984184293122270617e+02 2.701322723168214566e+02
6.742930573558578722e-01 1.616326743614931161e+02 1.900620055379746702e+02 2.440742378048780381e+02
7.049427417811242602e-01 1.575117777122641485e+02 1.796428801546391583e+02 2.399734650649953664e+02
7.355924262063904262e-01 1.446441419227574841e+02 1.721262711864406754e+02 2.044011563293818767e+02
7.662421106316565922e-01 1.414114850623167285e+02 1.548225014512383950e+02 1.908689612417340129e+02
7.968917950569229802e-01 1.331239531911142535e+02 1.504821870730874309e+02 1.828428923293455171e+02
8.275414794821891462e-01 1.271206354166666586e+02 1.378977982954545496e+02 1.664613718184862705e+02
8.581911639074555342e-01 1.156460237323113205e+02 1.279164260284810126e+02 1.588777859237536632e+02
8.888408483327217002e-01 1.095651492214532965e+02 1.222684102511037594e+02 1.554692199248120232e+02
9.194905327579880883e-01 1.019721942204301115e+02 1.101501402243589922e+02 1.458100910419989589e+02
9.501402171832542543e-01 1.039749878875968960e+02 1.055909163678278730e+02 1.349488180602819511e+02
9.807899016085206423e-01 9.524744664634145863e+01 1.072989811020036370e+02 1.290772362664073967e+02
1.011439586033786808e+00 9.151634812932526586e+01 9.764555267226148771e+01 1.190530913978494567e+02
1.042089270459053196e+00 9.087115645064204728e+01 9.405664713541666799e+01 1.131146378269617685e+02
1.072738954884319362e+00 8.623072999601910738e+01 8.950993441358023972e+01 1.104878158844765323e+02
1.103388639309585528e+00 8.297890454048139475e+01 8.528292572463767840e+01 1.031992087155963276e+02
1.134038323734851916e+00 7.650042989979618824e+01 8.313450215359237916e+01 9.725817555938039050e+01
