# k pHI_mu=0.17 pHI_mu=0.50 pHI_mu=0.83
3.064968442526627354e-02 4.176460449218750000e+03 nan 1.184587421875000109e+04
6.129936885053254014e-02 7.586619791666666060e+03 8.244023437500000000e+03 1.191829947916666606e+04
9.194905327579880328e-02 3.760568750000000364e+03 2.021090087890625000e+03 3.311577008928571104e+03
1.225987377010650803e-01 2.553943750000000364e+03 2.833794270833333030e+03 4.798368902439024168e+03
1.532484221263313573e-01 1.705245625000000018e+03 2.221330946180555657e+03 2.377405807783018645e+03
1.838981065515976066e-01 1.480513769531250091e+03 1.581001342773437500e+03 1.665809799382715937e+03
2.145477909768638836e-01 1.238588107638888914e+03 1.134507161458333258e+03 1.556478354357798253e+03
2.451974754021301606e-01 7.336405598958333485e+02 1.053103949652777828e+03 1.172726896367521476e+03
2.758471598273964376e-01 6.773616011424732051e+02 7.793160156249999773e+02 1.064488091216216162e+03
3.064968442526627146e-01 5.166368215460526017e+02 5.906563802083333030e+02 8.348677275345621638e+02
3.371465286779289916e-01 4.728001414331896513e+02 6.103676147460937500e+02 7.433508817427385793e+02
3.677962131031952131e-01 4.643057112068965466e+02 4.976543209876542733e+02 5.100337563993173831e+02
3.984458975284614901e-01 3.822036595394736764e+02 4.253506573932926926e+02 4.758695045931758614e+02
4.290955819537277671e-01 3.785957812500000159e+02 3.728970170454545041e+02 4.343864990831295927e+02
4.597452663789940441e-01 3.309676797945205067e+02 3.448802083333333144e+02 3.663613945578231323e+02
4.903949508042603211e-01 2.878063220301418141e+02 2.805940755208333144e+02 3.081988734835355217e+02
5.210446352295265982e-01 2.716196129493463900e+02 2.514199459876543017e+02 2.728403962146422828e+02
5.516943196547927641e-01 2.387111762152777885e+02 2.389180158132530210e+02 2.156652772824536441e+02
5.823440040800591522e-01 2.273357908847185058e+02 2.151299449060693405e+02 1.999662407219972806e+02
6.129936885053253182e-01 2.061270794465173992e+02 1.952499654314159159e+02 1.682069877935722957e+02
6.436433729305917062e-01 1.922881783693415798e+02 1.828348969705239995e+02 1.678229166666666572e+02
6.742930573558578722e-01 1.904949963163064695e+02 1.690242121571729683e+02 1.495652134146341439e+02
7.049427417811242602e-01 1.737172612028302012e+02 1.584351106099656192e+02 1.345989728412256170e+02
7.355924262063904262e-01 1.658306296719269142e+02 1.455106726694915267e+02 1.178753704487722160e+02
