# k pHI_mu=0.17 pHI_mu=0.50 pHI_mu=0.83
3.064968442526627354e-02 5.711551269531250000e+03 nan 1.587944375000000036e+04
6.129936885053254014e-02 6.242721354166666060e+03 8.822531250000000000e+03 1.254813888888888869e+04
9.194905327579880328e-02 3.421932812500000182e+03 2.333351318359375000e+03 4.219194568452380736e+03
1.225987377010650803e-01 2.712814257812500273e+03 2.855534830729166515e+03 5.425861661585366164e+03
1.532484221263313573e-01 1.995911875000000009e+03 2.836172526041666515e+03 2.822772995283018645e+03
1.838981065515976066e-01 1.866053906250000182e+03 1.979878417968750000e+03 2.176574652777777828e+03
2.145477909768638836e-01 1.445388744212962820e+03 1.506139136904761926e+03 1.955675745412844208e+03
2.451974754021301606e-01 9.502959635416666515e+02 1.170457790798611086e+03 1.645574652777778056e+03
2.758471598273964376e-01 8.529985719086022300e+02 9.406336718750000045e+02 1.185846621621621580e+03
3.064968442526627146e-01 6.225508497807016965e+02 8.180135416666666970e+02 1.076408842165898704e+03
3.371465286779289916e-01 5.890226293103447688e+02 7.128940429687500000e+02 7.685719009336099816e+02
3.677962131031952131e-01 5.289307650862068613e+02 5.751998939043209020e+02 6.307617320819113047e+02
3.984458975284614901e-01 4.524425575657894569e+02 4.720067168445121979e+02 6.249824885170603466e+02
4.290955819537277671e-01 4.050683984375000364e+02 4.473457741477272407e+02 4.549289425427872970e+02
4.597452663789940441e-01 3.637031963470319624e+02 3.709195240162036953e+02 4.043283730158730123e+02
4.903949508042603211e-01 3.416995789007091844e+02 3.247204367897727479e+02 3.586565207972270173e+02
5.210446352295265982e-01 2.977605443218954520e+02 2.729459394290123555e+02 3.126058392262895040e+02
5.516943196547927641e-01 2.748085069444444457e+02 2.522013130647590629e+02 2.431716521041369674e+02
5.823440040800591522e-01 2.496166848190348446e+02 2.328243993858381486e+02 2.269016953441295357e+02
6.129936885053253182e-01 2.462501943407960141e+02 2.062395084347345176e+02 2.022904627626699323e+02
6.436433729305917062e-01 2.161862943672839776e+02 1.884090304312227033e+02 1.746721974974200009e+02
6.742930573558578722e-01 1.984211536100196440e+02 1.720376450421940717e+02 1.487701371951219471e+02
7.049427417811242602e-01 1.945848466981132106e+02 1.634808983032646097e+02 1.300429868848653712e+02
