# k pHI_mu=0.17 pHI_mu=0.50 pHI_mu=0.83
3.064968442526627354e-02 5.422954101562500000e+03 nan 1.348257812500000000e+04
6.129936885053254014e-02 5.311332356770833030e+03 7.904888671875000000e+03 1.009135416666666606e+04
9.194905327579880328e-02 3.127942578125000182e+03 2.217008789062500000e+03 4.089443080357142662e+03
1.225987377010650803e-01 2.547494726562500091e+03 2.478530598958333030e+03 4.640170350609756497e+03
1.532484221263313573e-01 2.061578750000000127e+03 2.596882161458333030e+03 2.575430129716980900e+03
1.838981065515976066e-01 1.824415429687500136e+03 1.806935791015625000e+03 2.102899498456789843e+03
2.145477909768638836e-01 1.383715133101851734e+03 1.467948939732142662e+03 1.667926032110091910e+03
2.451974754021301606e-01 8.737357421875000227e+02 1.151913628472222172e+03 1.502366319444444571e+03
2.758471598273964376e-01 7.900756888440861303e+02 8.874703124999999773e+02 1.155489780405405554e+03
3.064968442526627146e-01 6.235413240131578050e+02 8.158216145833333712e+02 1.079384288594470036e+03
3.371465286779289916e-01 6.004264547413793025e+02 6.940144042968750000e+02 7.885671032157675882e+02
3.677962131031952131e-01 4.975011314655172328e+02 5.571349826388889142e+02 7.023981441979522060e+02
3.984458975284614901e-01 4.370085115131578846e+02 4.907678639481707705e+02 6.958140583989501238e+02
4.290955819537277671e-01 3.838043749999999932e+02 4.695024147727272634e+02 5.239526283618581601e+02
4.597452663789940441e-01 3.446522188926940657e+02 3.922594039351851620e+02 4.737084396258503602e+02
4.903949508042603211e-01 3.399087987588652595e+02 3.610717625473484986e+02 4.351099707538994608e+02
5.210446352295265982e-01 2.953882250816993746e+02 3.134627459490740762e+02 3.841889559068219455e+02
5.516943196547927641e-01 2.594766927083333599e+02 2.762506588855421796e+02 3.306978423680456558e+02
5.823440040800591522e-01 2.408256744302949244e+02 2.745873825867051892e+02 2.924426239878542333e+02
6.129936885053253182e-01 2.265722170398009894e+02 2.405550331858406992e+02 2.724248493510506819e+02
6.436433729305917062e-01 2.136505594135802539e+02 2.088908467521833927e+02 2.453601973684210407e+02
6.742930573558578722e-01 1.941894492878192295e+02 2.044593387394514536e+02 2.219528201219512198e+02
7.049427417811242602e-01 1.886806603773584925e+02 1.888100032216494810e+02 2.054437383936861750e+02
7.355924262063904262e-01 1.760191159676079735e+02 1.735050185381356016e+02 1.770846475444538441e+02
7.662421106316565922e-01 1.657275820197947098e+02 1.602598926083591380e+02 1.624394746509919116e+02
7.968917950569229802e-01 1.596303332157968953e+02 1.522976434426229559e+02 1.425964879486277255e+02
8.275414794821891462e-01 1.499010208333333196e+02 1.387250202922078017e+02 1.311144821667782878e+02
8.581911639074555342e-01 1.396999649911556673e+02 1.251231309335443029e+02 1.180834677419354790e+02
8.888408483327217002e-01 1.292818176903114136e+02 1.195582746964679899e+02 1.085764079670329636e+02
9.194905327579880883e-01 1.216608198924731141e+02 1.092319377670940241e+02 1.049770484449760914e+02
9.501402171832542543e-01 1.211031144016472894e+02 1.014043048796106632e+02 9.517960014584345174e+01
9.807899016085206423e-01 1.173260137195121899e+02 9.610640084244080583e+01 8.812770418084588187e+01
1.011439586033786808e+00 1.102463235294117680e+02 8.869346979902826433e+01 7.921360215053763909e+01
1.042089270459053196e+00 1.094961000200642047e+02 8.439130208333334338e+01 7.043582117706237966e+01
1.072738954884319362e+00 9.933749875597133894e+01 7.974462890625000000e+01 6.681714425391095347e+01
1.103388639309585528e+00 9.867440508752734729e+01 7.306054121376811850e+01 6.194346330275229207e+01
1.134038323734851916e+00 9.633986497961956275e+01 6.938091665139296538e+01 5.641992254733219170e+01
1.164688008160118304e+00 8.697916314276049832e+01 6.686573492462311208e+01 5.299768209154694176e+01
1.195337692585384470e+00 8.677442964262922942e+01 6.387829838966835894e+01 4.738759561191626801e+01
1.225987377010650636e+00 8.306569725433526230e+01 6.019427375936329838e+01 4.468856791196061096e+01
1.256637061435917024e+00 8.001102520045819233e+01 5.693647603155338999e+01 4.114745567375886282e+01
1.287286745861183412e+00 7.568831610446137859e+01 5.260332910263446848e+01 3.840423979104069474e+01
1.317936430286449578e+00 7.543677933350228670e+01 4.995033015167363288e+01 3.536552874905326860e+01
1.348586114711715744e+00 7.329701618975903443e+01 4.995257843077298787e+01 3.251900204165611541e+01
1.379235799136982132e+00 7.031618720794392630e+01 4.568981215533088402e+01 3.111467331835982364e+01
1.409885483562248520e+00 6.598645178491243257e+01 4.323851081161137699e+01 2.873398303876852822e+01
1.440535167987514686e+00 6.641525482475599063e+01 4.067054188829786909e+01 2.688454861111111072e+01
1.471184852412780852e+00 6.505196116255143579e+01 3.821320020746887991e+01 2.537132637028642179e+01
1.501834536838047018e+00 6.326534926470588260e+01 3.659806580123113662e+01 2.353807845352721628e+01
1.532484221263313406e+00 6.126977065093262809e+01 3.439675336826347518e+01 2.228442952304191138e+01
1.563133905688579794e+00 5.945057303266517579e+01 3.315581597222222143e+01 2.050750802182874111e+01
1.593783590113845960e+00 5.780497020702853206e+01 3.135185651881720403e+01 1.963673424831809555e+01
1.624433274539112126e+00 5.632802398775093167e+01 3.069352604166666509e+01 1.797115292143956111e+01
1.655082958964378514e+00 5.426706184080421735e+01 2.948244620901639479e+01 1.681524580509174882e+01
1.685732643389644902e+00 5.297821392276422614e+01 2.777742593277449146e+01 1.593062829154221127e+01
1.716382327814911068e+00 5.158595927531743541e+01 2.639918565408711260e+01 1.523757228218966731e+01
1.747032012240177234e+00 5.133572098729791833e+01 2.547789573001750085e+01 1.411607239500649236e+01
1.777681696665443623e+00 5.055223860732538554e+01 2.424380667098445841e+01 1.336689901114898582e+01
1.808331381090710011e+00 4.733678104235880113e+01 2.341467486592409131e+01 1.277258285625603484e+01
1.838981065515976177e+00 4.675715410868994582e+01 2.218210974293563709e+01 1.205018571287389584e+01
1.869630749941242343e+00 4.670697096836420315e+01 2.130890633066598028e+01 1.145932948639804749e+01
1.900280434366508731e+00 4.593333179240631381e+01 2.062093147255192704e+01 1.082835810789897302e+01
1.930930118791775119e+00 4.460578698006398923e+01 1.994342428824535673e+01 1.015062692307692238e+01
1.961579803217041285e+00 4.345594096580406784e+01 1.912858134451795777e+01 9.888430244310962181e+00
1.992229487642307451e+00 4.294732862903225623e+01 1.847379153050108869e+01 9.087259252265861065e+00
2.022879172067573617e+00 4.199526848591549566e+01 1.746952019783377352e+01 8.643683834940693700e+00
2.053528856492840227e+00 4.096820498003782518e+01 1.736743540951972520e+01 8.403322243469665054e+00
2.084178540918106393e+00 4.009827147207056441e+01 1.618392847990979888e+01 7.935201914438220427e+00
2.114828225343372559e+00 3.975996905940594672e+01 1.571731257467144616e+01 7.410232692496804496e+00
2.145477909768638725e+00 3.803453883258623591e+01 1.509808993358445761e+01 7.182855018043499129e+00
2.176127594193904891e+00 3.789695126345119291e+01 1.447668865169072916e+01 6.690239546091409473e+00
2.206777278619171501e+00 3.661147013153087215e+01 1.419099378881987583e+01 6.401378316163734539e+00
2.237426963044437667e+00 3.570721149563513563e+01 1.359725038734961622e+01 6.304012449528936912e+00
2.268076647469703833e+00 3.536639945652174077e+01 1.319976785866235502e+01 5.944190846770716519e+00
2.298726331894970443e+00 3.507297966354344254e+01 1.267733383701988892e+01 5.683746850503919923e+00
2.329376016320236609e+00 3.435916211835193224e+01 1.235791652726664402e+01 5.491387920992397476e+00
2.360025700745502775e+00 3.353159148858669170e+01 1.185807906436890136e+01 5.263450133139675913e+00
2.390675385170768941e+00 3.298850653955247481e+01 1.134974173759147220e+01 5.047313162360086203e+00
2.421325069596035107e+00 3.238632943462359037e+01 1.101700489223467194e+01 4.765914724135321912e+00
2.451974754021301717e+00 3.206531537909681617e+01 1.070277365636980349e+01 4.679825604228177838e+00
2.482624438446567883e+00 3.146940348283818523e+01 1.059253198284597453e+01 4.443670689841109578e+00
2.513274122871834049e+00 3.080281504636133860e+01 1.019767219846175976e+01 4.334469454970038882e+00
2.543923807297100215e+00 3.027582885776467236e+01 9.843702285219869452e+00 4.151183326191142164e+00
2.574573491722366825e+00 3.041980900663147835e+01 9.309989528975556539e+00 3.946628289473684159e+00
2.605223176147632991e+00 2.942854346123727538e+01 9.308133097567424130e+00 3.778346261506821957e+00
2.635872860572899157e+00 2.993729142366511198e+01 8.968574303603373821e+00 3.634345737810784627e+00
2.666522544998165323e+00 2.907661111111110941e+01 8.677837639134834191e+00 3.510967250988709321e+00
2.697172229423431489e+00 2.819780981265356345e+01 8.554812157192721145e+00 3.435324539860847626e+00
2.727821913848698099e+00 2.848828125000000000e+01 8.274653878949257191e+00 3.340529731361304044e+00
2.758471598273964265e+00 2.785144826880337021e+01 7.870350091527196668e+00 3.156939094781917809e+00
