# k pHI_mu=0.17 pHI_mu=0.50 pHI_mu=0.83
2.789121282699230431e+00 2.727334977944546424e+01 7.866791895361190612e+00 3.077969286173863228e+00
2.819770967124497041e+00 2.717518616416552746e+01 7.516519892682383741e+00 2.981650592075353767e+00
2.850420651549763207e+00 2.672566530477031677e+01 7.482350757659857798e+00 2.845200124001102449e+00
2.881070335975029373e+00 2.615582774835153046e+01 7.094768521673936235e+00 2.798125059054586750e+00
2.911720020400295539e+00 2.638878636998067506e+01 6.942991179807895818e+00 2.643299367769706976e+00
2.942369704825561705e+00 2.582728991542133556e+01 6.867148623781878847e+00 2.585756910763118199e+00
2.973019389250827871e+00 2.589685905133593380e+01 6.494779698988971006e+00 2.540094808332912901e+00
3.003669073676094481e+00 2.558359467785035335e+01 6.478511447598678252e+00 2.424440747888948700e+00
3.034318758101360647e+00 2.518073776533018915e+01 6.293685278799019400e+00 2.358729187712511610e+00
3.064968442526626813e+00 2.484484856359856408e+01 6.298326238390092868e+00 2.288895266742607681e+00
3.095618126951893423e+00 2.501037827237501077e+01 6.013735007041928426e+00 2.223273847640645062e+00
3.126267811377159589e+00 2.454050671969281439e+01 5.874338147239963170e+00 2.181287368669646565e+00
3.156917495802425755e+00 2.453451937656082649e+01 5.823633774981748168e+00 2.116810768282936017e+00
3.187567180227691921e+00 2.361721207423384783e+01 5.738525564390569933e+00 2.056211199569994097e+00
3.218216864652958087e+00 2.369650333219412275e+01 5.516730837917946495e+00 1.991539989802673549e+00
3.248866549078224697e+00 2.346117512744265099e+01 5.431175659369074538e+00 1.958501007037320107e+00
3.279516233503490863e+00 2.371168567288306761e+01 5.411035333484573329e+00 1.898185966782480749e+00
3.310165917928757029e+00 2.349786018510934227e+01 5.174643510408079017e+00 1.859426227938473009e+00
3.340815602354023639e+00 2.357299004669938469e+01 5.058891360087507394e+00 1.792058871047922164e+00
3.371465286779289805e+00 2.335248599857006724e+01 5.026226934873784913e+00 1.777605465194507239e+00
3.402114971204555971e+00 2.323423225579761109e+01 4.940130608534577306e+00 1.736915276664581231e+00
3.432764655629822137e+00 2.353632670626513601e+01 4.770921726714373534e+00 1.675675479492965358e+00
3.463414340055088303e+00 2.314311356478703985e+01 4.724428396034099364e+00 1.641287877900438730e+00
3.494064024480354469e+00 2.298798288575830995e+01 4.609182070743753634e+00 1.607883553995303805e+00
3.524713708905621079e+00 2.345194894900317806e+01 4.561252875979450394e+00 1.592609498297481441e+00
3.555363393330887245e+00 2.334580241763703512e+01 4.509820688677599776e+00 1.547292081894864113e+00
3.586013077756153411e+00 2.342210465196894376e+01 4.431062634529926214e+00 1.518601719340522127e+00
3.616662762181420021e+00 2.311676126590987224e+01 4.368173585957091376e+00 1.484385179153094425e+00
3.647312446606686187e+00 2.323097086056645111e+01 4.319819228247713916e+00 1.469252344630838092e+00
3.677962131031952353e+00 2.362377633055995929e+01 4.229990491739505032e+00 1.437526719063435099e+00
3.708611815457218519e+00 2.366915721231766767e+01 4.166654151546357987e+00 1.424677925073918772e+00
3.739261499882484685e+00 2.347747689938398352e+01 4.140313668429630667e+00 1.386923959436474840e+00
3.769911184307751295e+00 2.406664049678070683e+01 4.080654428693073932e+00 1.376449225766552154e+00
3.800560868733017461e+00 2.404567412155450867e+01 4.037566098994864738e+00 1.342285384184483288e+00
3.831210553158283627e+00 2.441151563734727148e+01 3.987478100186477636e+00 1.350543916024805169e+00
3.861860237583550237e+00 2.403568243651753278e+01 3.948114346590909207e+00 1.319493606252086115e+00
3.892509922008816403e+00 2.489911523761554690e+01 3.950488561871407622e+00 1.319582925771445536e+00
