# k pHI_mu=0.17 pHI_mu=0.50 pHI_mu=0.83
2.053528856492840227e+00 4.394122977516284578e+01 1.248017393867924518e+01 4.516244129852221789e+00
2.084178540918106393e+00 4.386076950335993274e+01 1.209128276829643234e+01 4.353719793758587642e+00
2.114828225343372559e+00 4.290150990099009931e+01 1.172939534796893568e+01 4.080567702699380739e+00
2.145477909768638725e+00 4.187897705125706693e+01 1.088093914180214128e+01 4.056952081098215146e+00
2.176127594193904891e+00 4.154567099827055898e+01 1.086596679687500000e+01 3.859624495724224502e+00
2.206777278619171501e+00 4.108075961362806083e+01 1.062864221775666707e+01 3.751074761828790294e+00
2.237426963044437667e+00 4.067992550774986427e+01 1.031093493665694361e+01 3.644363714109466024e+00
2.268076647469703833e+00 4.007885869565217973e+01 1.000915735087644620e+01 3.406786574652927779e+00
2.298726331894970443e+00 3.844385913543440836e+01 9.552983539094649146e+00 3.333783325437160716e+00
2.329376016320236609e+00 3.909680472340774315e+01 9.480358972482434865e+00 3.231647043345867498e+00
2.360025700745502775e+00 3.858697334871296647e+01 9.116599779666351822e+00 3.107049153251835616e+00
2.390675385170768941e+00 3.766966149936968122e+01 8.840931236080178834e+00 3.010568922660157298e+00
2.421325069596035107e+00 3.702573291298384106e+01 8.595796130952381375e+00 2.892815373590403638e+00
2.451974754021301717e+00 3.660166751623621906e+01 8.491743424690357145e+00 2.780059405518964244e+00
2.482624438446567883e+00 3.598122025526391354e+01 8.188686916437463381e+00 2.746585225842979039e+00
2.513274122871834049e+00 3.573648891893790847e+01 7.802947769910868026e+00 2.712217185847726864e+00
2.543923807297100215e+00 3.552505440887391330e+01 7.759311274260315194e+00 2.555768120758413087e+00
2.574573491722366825e+00 3.523838856746515091e+01 7.529379484516616650e+00 2.536641818760611233e+00
2.605223176147632991e+00 3.459273035760897841e+01 7.494230483209942228e+00 2.442477873849317582e+00
2.635872860572899157e+00 3.427267204510108911e+01 7.182539571620240260e+00 2.386749525750726519e+00
2.666522544998165323e+00 3.364586111111110966e+01 6.979431661870730608e+00 2.319544057377048940e+00
2.697172229423431489e+00 3.300769732800982581e+01 6.783950581214161168e+00 2.308043958422730579e+00
2.727821913848698099e+00 3.298401662844036508e+01 6.636419563786501108e+00 2.201825903637186777e+00
2.758471598273964265e+00 3.257522078605685323e+01 6.376635322233844327e+00 2.160002887898051505e+00
2.789121282699230431e+00 3.232623095210816189e+01 6.405803676817752645e+00 2.106624651486988853e+00
2.819770967124497041e+00 3.168781619486129841e+01 6.165287981678157614e+00 2.030501248437233563e+00
2.850420651549763207e+00 3.150821278710247242e+01 6.076239956843917156e+00 2.009870143290162670e+00
2.881070335975029373e+00 3.162544589774078574e+01 5.923188300845146692e+00 1.977093147643215865e+00
2.911720020400295539e+00 3.154388890380073107e+01 5.899982435481317289e+00 1.904141024347592248e+00
2.942369704825561705e+00 3.135895340390203501e+01 5.690727131064690525e+00 1.858763898921624191e+00
2.973019389250827871e+00 3.054820874612228465e+01 5.584361755770016700e+00 1.819926074420834761e+00
3.003669073676094481e+00 3.095078063143309421e+01 5.550029697525763694e+00 1.781848143931955342e+00
3.034318758101360647e+00 3.028141276041666785e+01 5.294328278186274161e+00 1.736208683412999498e+00
3.064968442526626813e+00 3.046714645152145096e+01 5.239789177389706509e+00 1.717929592944610562e+00
3.095618126951893423e+00 3.013785618089027452e+01 5.089706663280384014e+00 1.685632152676599160e+00
