# k pHI_mu=0.17 pHI_mu=0.50 pHI_mu=0.83
3.064968442526627354e-02 5.581609375000000000e+03 nan 1.516475625000000036e+04
6.129936885053254014e-02 5.665647135416666060e+03 8.616057617187500000e+03 1.155086284722222081e+04
9.194905327579880328e-02 3.315735156250000273e+03 2.300126708984375000e+03 4.217315104166666060e+03
1.225987377010650803e-01 2.705143164062500091e+03 2.737295898437500000e+03 5.238469893292683082e+03
1.532484221263313573e-01 2.098734218749999854e+03 2.757355251736110858e+03 2.766450766509433834e+03
1.838981065515976066e-01 1.888959375000000136e+03 1.932912475585937500e+03 2.210191165123456813e+03
2.145477909768638836e-01 1.478416377314814781e+03 1.529982049851190368e+03 1.911046588302752298e+03
2.451974754021301606e-01 9.476671874999999545e+02 1.195964735243055429e+03 1.664309561965812236e+03
2.758471598273964376e-01 8.496715389784947092e+02 9.503909375000000637e+02 1.199574155405405463e+03
3.064968442526627146e-01 6.437341008771929864e+02 8.561776041666666970e+02 1.113372047811059929e+03
3.371465286779289916e-01 6.037031250000000000e+02 7.193389892578125000e+02 7.891058739626555507e+02
3.677962131031952131e-01 5.340407327586207202e+02 5.824130979938271366e+02 6.768148997440273433e+02
3.984458975284614901e-01 4.617548519736841968e+02 4.792251333841463747e+02 6.619735072178477822e+02
4.290955819537277671e-01 4.051004687500000045e+02 4.626353693181818016e+02 4.869244345965769867e+02
4.597452663789940441e-01 3.564468107876712111e+02 3.870283564814814667e+02 4.361093395691610226e+02
4.903949508042603211e-01 3.537928025265957217e+02 3.510107717803030596e+02 3.976658633015597957e+02
5.210446352295265982e-01 3.017018484477124503e+02 2.969503761574073906e+02 3.490457310732113001e+02
5.516943196547927641e-01 2.738825737847222399e+02 2.670671357304216826e+02 2.804761501426533528e+02
5.823440040800591522e-01 2.511781794571045623e+02 2.558535720736994108e+02 2.494911437246963430e+02
6.129936885053253182e-01 2.418786730410447774e+02 2.246303062776548529e+02 2.356140489802224636e+02
6.436433729305917062e-01 2.225089859825102963e+02 2.029110773744541518e+02 1.944993388802889456e+02
6.742930573558578722e-01 2.028718381630648082e+02 1.848962783491560913e+02 1.773961737804877998e+02
7.049427417811242602e-01 2.012723909198113290e+02 1.781768685567010380e+02 1.563952530176416076e+02
