# k pHI_mu=0.17 pHI_mu=0.50 pHI_mu=0.83
3.064968442526627354e-02 5.306867675781250000e+03 nan 1.456248593750000146e+04
6.129936885053254014e-02 7.441768229166666060e+03 8.749338867187500000e+03 1.366313975694444343e+04
9.194905327579880328e-02 3.626133593750000273e+03 1.965566528320312500e+03 3.771069940476190368e+03
1.225987377010650803e-01 2.681776562500000182e+03 2.881543294270833030e+03 5.392486661585366164e+03
1.532484221263313573e-01 1.753712656250000009e+03 2.543014539930555202e+03 2.737147995283018645e+03
1.838981065515976066e-01 1.691272070312500091e+03 1.785242065429687500e+03 1.925581983024691226e+03
2.145477909768638836e-01 1.306705005787036953e+03 1.334965959821428442e+03 1.791405963302752298e+03
2.451974754021301606e-01 8.277701171874999773e+02 1.064002604166666515e+03 1.395433226495726558e+03
2.758471598273964376e-01 7.878236727150538172e+02 8.235053906250000182e+02 1.096774324324324425e+03
3.064968442526627146e-01 5.558536184210526017e+02 6.420617187500000682e+02 9.186186635944700356e+02
3.371465286779289916e-01 5.205647225215517437e+02 6.528036499023437500e+02 7.296120331950207856e+02
3.677962131031952131e-01 4.893568965517241054e+02 5.038010706018518476e+02 5.156588097269624313e+02
3.984458975284614901e-01 4.152176809210526471e+02 4.340470655487804947e+02 4.752548392388451362e+02
4.290955819537277671e-01 3.889386328125000318e+02 3.948504971590908781e+02 4.054353606356968385e+02
4.597452663789940441e-01 3.394400684931506476e+02 3.349773220486110858e+02 3.515074759070295158e+02
4.903949508042603211e-01 3.166330895390070737e+02 2.719273200757575637e+02 2.948293706672443477e+02
5.210446352295265982e-01 2.735793504901960773e+02 2.304923562885802255e+02 2.522132903494176333e+02
5.516943196547927641e-01 2.478599609375000057e+02 2.262844503012048278e+02 1.922525187232525070e+02
5.823440040800591522e-01 2.241650259718498717e+02 1.950825279985548946e+02 1.794309843117408718e+02
6.129936885053253182e-01 2.303303793532338375e+02 1.800431243086283075e+02 1.516222670735475901e+02
6.436433729305917062e-01 1.981606706532921862e+02 1.636982805676855719e+02 1.441006836945304315e+02
6.742930573558578722e-01 1.893491374017681608e+02 1.542979792985231882e+02 1.227980716463414694e+02
7.049427417811242602e-01 1.776815005896226296e+02 1.347745516537800654e+02 1.070478397748375130e+02
7.355924262063904262e-01 1.670468230897010073e+02 1.281886122881356016e+02 9.396460229678238818e+01
7.662421106316565922e-01 1.602554183467742064e+02 1.100444320820433433e+02 8.455301708302718566e+01
7.968917950569229802e-01 1.472082268159379339e+02 1.069409046277322375e+02 7.579395012315271174e+01
8.275414794821891462e-01 1.424501770833333296e+02 1.006825588474026034e+02 6.431858045880777297e+01
8.581911639074555342e-01 1.349849001326650750e+02 9.094582674050633386e+01 5.886238086510263656e+01
8.888408483327217002e-01 1.218113736303344865e+02 8.575227649006622244e+01 5.393303119577790028e+01
9.194905327579880883e-01 1.168809811827956935e+02 8.170847522702992194e+01 4.849992523923445020e+01
9.501402171832542543e-01 1.141551674539728651e+02 7.415727459016393652e+01 4.572819184491978461e+01
9.807899016085206423e-01 1.091327515243902440e+02 6.829920167349726512e+01 4.349824911886241807e+01
